Folio Vivienda,Folio Habitante,Fecha,Municipio,AGEB,Centralidad,¿Salió de su casa ayer?,¿Cuál es la razón por la que NO realizó algún viaje?,Viajes contados,Día de la semana que realizó los viajes:,Parentesco,Sexo de nacimiento,Género con el que se identifica:,Grupo de Edad,Edad,Estado civil,Escolaridad,Durante la semana pasada trabajó:,Ocupación:,Giro de la empresa donde trabaja:,¿Tiene alguna discapacidad?,¿Qué tipo de discapacidad?,¿Requiere acompañamiento en sus viajes?,¿Por qué razón requiere acompañamiento en sus viajes?,¿De quien recibe apoyo para realizar los viajes?,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | A PIE,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | CAMIÓN O AUTOBÚS,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | AUTOMÓVIL PARTICULAR,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | TREN LIGERO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MI MACRO,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | MOTOCICLETA,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi plataforma (Uber/Didi),¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 1 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 2 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Línea 3 Sitren,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mototaxi,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte de personal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Servicio suburbano,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte informal,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Transporte escolar particular,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Taxi colectivo,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Mi Bici,¿Qué medios de transporte utiliza para el fin de semana? (Registrar todos los que utiliza) | Bicicleta,¿Cuáles son los principales destinos de los viajes en fin de semana? | Trabajar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Estudiar,¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (comida),"¿Cuáles son los principales destinos de los viajes en fin de semana? | Compras (bienes, productos y servicios)",¿Cuáles son los principales destinos de los viajes en fin de semana? | Visitar a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Deportes o recreación,¿Cuáles son los principales destinos de los viajes en fin de semana? | Llevar o recoger a alguien,¿Cuáles son los principales destinos de los viajes en fin de semana? | Hacer un trámite,¿Cuáles son los principales destinos de los viajes en fin de semana? | Al médico o atención de salud,¿Cuáles son los principales destinos de los viajes en fin de semana? | Pagar algún servicio o al banco,¿Cuáles son los principales destinos de los viajes en fin de semana? | Guardería,¿Cuáles son los principales destinos de los viajes en fin de semana? | Regresar a Casa,¿Cuáles son los principales destinos de los viajes en fin de semana? | Religión,Ponderador
1,1,25-Jan-23,Tlajomulco,1409700251418,30F,Sí,,7,Jueves,Jefe del hogar,Hombres,Hombres,35-54,51,Casado,Maestría o doctorado,Tiempo completo,Patrón o empresario,Servicio,No,,,,,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,51
1,2,25-Jan-23,Tlajomulco,1409700251418,30F,Sí,,6,Martes,Cónyuge,Mujeres,Mujeres,35-54,50,Casado,Licenciatura o profesional,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,No,No,No,No,Sí,No,51
1,3,25-Jan-23,Tlajomulco,1409700251418,30F,Sí,,4,Lunes,Hijo,Hombres,Hombres,18-34,19,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,Sí,Visual,No,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,Sí,No,51
1,4,25-Jan-23,Tlajomulco,1409700251418,30F,Sí,,5,Jueves,Hijo,Mujeres,Mujeres,6-11,10,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,51
1,5,25-Jan-23,Tlajomulco,1409700251418,30F,Sí,,5,Viernes,Hijo,Mujeres,Mujeres,6-11,11,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,51
2,1,26-Jan-23,Guadalajara,1403900010859,09,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,68,Soltero,Primaria,Tiempo completo,Empleado,Servicio,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,No,No,249
2,2,26-Jan-23,Guadalajara,1403900010859,09,No,Otros (especifique),0,,Otro parentesco,Hombres,Hombres,55 y +,61,Soltero,Carrera técnica con preparatoria terminada,Tiempo completo,Empleado,Servicio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
2,3,26-Jan-23,Guadalajara,1403900010859,09,No,Otros (especifique),0,,Compañero,Hombres,Hombres,55 y +,76,Casado,Licenciatura o profesional,Tiempo completo,Empleado,Servicio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
3,1,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Cónyuge,Mujeres,Mujeres,55 y +,63,Casado,Secundaria,Tiempo completo,Trabajador independiente,Comercio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
3,2,26-Jan-23,Guadalajara,1403900010539,09,Sí,,2,Jueves,Jefe del hogar,Hombres,Hombres,18-34,25,Casado,Secundaria,Tiempo completo,Trabajador independiente,Comercio,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,249
4,1,26-Jan-23,Guadalajara,1403900010539,09,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,63,Casado,Secundaria,Tiempo completo,Trabajador independiente,Comercio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,Sí,No,249
4,2,26-Jan-23,Guadalajara,1403900010539,09,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,58,Casado,Secundaria,Tiempo completo,Trabajador independiente,Comercio,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,249
4,3,26-Jan-23,Guadalajara,1403900010539,09,No,Descanso o periodo vacacional,0,,Hijo,Hombres,Hombres,35-54,45,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Comercio,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,Sí,No,249
5,1,26-Jan-23,Guadalajara,1403900010539,09,Sí,,3,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,46,Casado,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
5,2,26-Jan-23,Guadalajara,1403900010539,09,No,Maternidad,0,,Cónyuge,Mujeres,Mujeres,35-54,48,Casado,Carrera técnica con secundaria terminada,No trabajo,Hogar,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
5,3,26-Jan-23,Guadalajara,1403900010539,09,No,Maternidad,0,,Hijo,Mujeres,Mujeres,12-17,16,Soltero,Secundaria,Busco trabajo,Desempleado,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
5,4,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Hijo,Hombres,Hombres,12-17,14,Soltero,Secundaria,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
5,5,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Hijo,Mujeres,Mujeres,6-11,10,Soltero,Ninguno,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
5,6,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Nieto,Hombres,Hombres,6-11,7,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
6,1,26-Jan-23,Guadalajara,1403900010825,09,Sí,,4,Martes,Jefe del hogar,Hombres,Hombres,55 y +,57,Casado,Licenciatura o profesional,No trabajo,Jubilado o pensionado,,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,249
6,2,26-Jan-23,Guadalajara,1403900010825,09,Sí,,4,Martes,Cónyuge,Mujeres,Mujeres,35-54,51,Casado,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
6,3,26-Jan-23,Guadalajara,1403900010825,09,No,Otros (especifique),0,,Hijo,Hombres,Hombres,18-34,26,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Servicio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
6,4,26-Jan-23,Guadalajara,1403900010825,09,No,Maternidad,0,,Hijo,Mujeres,Mujeres,18-34,21,Soltero,Licenciatura o profesional,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
6,5,26-Jan-23,Guadalajara,1403900010825,09,No,Otros (especifique),0,,Sin parentesco,Mujeres,Mujeres,6-11,9,Soltero,Ninguno,Es estudiante,Estudiante,,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
6,6,26-Jan-23,Guadalajara,1403900010825,09,Sí,,2,Jueves,Hijo,Mujeres,Mujeres,6-11,10,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,249
7,1,26-Jan-23,Guadalajara,1403900013209,09,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,35-54,46,Unión libre,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Servicio,No,,,,,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,Sí,No,Sí,Sí,No,No,Sí,No,249
7,2,26-Jan-23,Guadalajara,1403900013209,09,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,41,Unión libre,Licenciatura o profesional,No trabajo,Hogar,,No,,,,,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Sí,No,249
7,3,26-Jan-23,Guadalajara,1403900013209,09,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,27,Soltero,Maestría o doctorado,Tiempo completo,Empleado,Industria,No,,,,,No,Sí,Sí,No,No,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,249
8,1,26-Jan-23,Guadalajara,140390001418A,09,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,60,Casado,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Servicio,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,Sí,No,249
8,2,26-Jan-23,Guadalajara,140390001418A,09,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,57,Casado,Preparatoria o bachillerato,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,Sí,No,249
8,3,26-Jan-23,Guadalajara,140390001418A,09,Sí,,6,Miércoles,Hijo,Mujeres,Mujeres,18-34,33,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,Gobierno/sector público,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,249
8,4,26-Jan-23,Guadalajara,140390001418A,09,Sí,,2,Miércoles,Hijo,Mujeres,Mujeres,18-34,27,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,Gobierno/sector público,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,249
9,1,26-Jan-23,Guadalajara,1403900014283,09,Sí,,2,Miércoles,Cónyuge,Mujeres,Mujeres,55 y +,61,Soltero,Carrera técnica con secundaria terminada,No trabajo,Hogar,,No,,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,249
9,2,26-Jan-23,Guadalajara,1403900014283,09,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,18-34,31,Soltero,Preparatoria o bachillerato,Tiempo completo,Empleado,Servicio,No,,,,,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,249
9,3,26-Jan-23,Guadalajara,1403900014283,09,Sí,,2,Miércoles,Otro parentesco,Hombres,Hombres,18-34,32,Unión libre,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,249
9,4,26-Jan-23,Guadalajara,1403900014283,09,No,Actividades pendientes en casa,0,,Hijo,Hombres,Hombres,18-34,28,Soltero,Preparatoria o bachillerato,No trabajo,Hogar,,,,,,,Sí,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,249
9,5,26-Jan-23,Guadalajara,1403900014283,09,No,Trabaja desde casa,0,,Hijo,Hombres,Hombres,18-34,28,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,,,,,,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,No,Sí,No,249
9,6,26-Jan-23,Guadalajara,1403900014283,09,No,Descanso o periodo vacacional,0,,Otro parentesco,Mujeres,Mujeres,18-34,21,Unión libre,Secundaria,No trabajo,Hogar,,No,,,,,Sí,No,No,Sí,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,249
9,7,26-Jan-23,Guadalajara,1403900014283,09,Sí,,4,Miércoles,Nieto,Hombres,Hombres,6-11,8,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,Sí,No,249
10,1,26-Jan-23,Guadalajara,140390001418A,09,No,Actividades pendientes en casa,0,,Jefe del hogar,Mujeres,Mujeres,35-54,45,Casado,Secundaria,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,249
10,2,26-Jan-23,Guadalajara,140390001418A,09,Sí,,2,Miércoles,Cónyuge,Hombres,Hombres,35-54,36,Casado,Preparatoria o bachillerato,Tiempo completo,Empleado,Industria,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,249
10,3,26-Jan-23,Guadalajara,140390001418A,09,Sí,,2,Jueves,Hijo,Hombres,Hombres,6-11,6,Soltero,Kinder,Es estudiante,Estudiante,,No,,,,,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,249
11,1,26-Jan-23,Guadalajara,1403900014245,09,Sí,,2,Miércoles,Otro parentesco,Hombres,Hombres,35-54,47,Casado,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,2,26-Jan-23,Guadalajara,1403900014245,09,No,Maternidad,0,,Otro parentesco,Mujeres,Mujeres,35-54,44,Casado,Primaria,Medio tiempo,Empleado,Comercio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,3,26-Jan-23,Guadalajara,1403900014245,09,No,Otros (especifique),0,,Otro parentesco,Hombres,Hombres,18-34,22,Soltero,Licenciatura o profesional,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,4,26-Jan-23,Guadalajara,1403900014245,09,No,Maternidad,0,,Otro parentesco,Mujeres,Mujeres,18-34,18,Soltero,Preparatoria o bachillerato,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,5,26-Jan-23,Guadalajara,1403900014245,09,No,Otros (especifique),0,,Otro parentesco,Hombres,Hombres,12-17,16,Soltero,Secundaria,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,6,26-Jan-23,Guadalajara,1403900014245,09,No,Otros (especifique),0,,Otro parentesco,Hombres,Hombres,12-17,13,Soltero,Primaria,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
11,7,26-Jan-23,Guadalajara,1403900014245,09,No,Otros (especifique),0,,Otro parentesco,Hombres,Hombres,6-11,6,Soltero,Ninguno,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
12,1,26-Jan-23,Guadalajara,1403900014245,09,Sí,,4,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,74,Viudo,Primaria,Es jubilado o pensionado,Jubilado o pensionado,,Sí,Física o motora,No,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,249
12,2,26-Jan-23,Guadalajara,1403900014245,09,Sí,,4,Miércoles,Hijo,Hombres,Hombres,35-54,54,Casado,Secundaria,No trabajo,Hogar,,Sí,Visual,Sí,Discapacidad permanente,Otro familiar,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,249
12,3,26-Jan-23,Guadalajara,1403900014245,09,Sí,,3,Miércoles,Hijo,Mujeres,Mujeres,35-54,51,Casado,Secundaria,Tiempo completo,Empleado,Gobierno/sector público,No,,,,,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,No,249
12,4,26-Jan-23,Guadalajara,1403900014245,09,Sí,,2,Lunes,Jefe del hogar,Mujeres,Hombres,55 y +,60,Casado,Ninguno,Tiempo completo,Trabajador independiente,Comercio,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,249
13,1,26-Jan-23,Guadalajara,1403900010539,09,Sí,,2,Miércoles,Jefe del hogar,Hombres,Hombres,55 y +,58,Casado,Primaria,Tiempo completo,Empleado,Comercio,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,249
13,2,26-Jan-23,Guadalajara,1403900010539,09,Sí,,4,Miércoles,Cónyuge,Mujeres,Mujeres,35-54,46,Casado,Secundaria,Tiempo completo,Patrón o empresario,Comercio,No,,,,,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,Sí,No,249
13,3,26-Jan-23,Guadalajara,1403900010539,09,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,21,Soltero,Secundaria,No trabajo,Hogar,,Sí,Visual,Sí,Problemas de vista,Papá,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,249
13,4,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Hijo,Hombres,Hombres,6-11,11,Soltero,Preescolar,Es estudiante,Estudiante,,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,Sí,No,249
13,5,26-Jan-23,Guadalajara,1403900010539,09,No,Otros (especifique),0,,Hijo,Hombres,Hombres,6-11,11,Soltero,Ninguno,Es estudiante,Estudiante,,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,249
13,6,26-Jan-23,Guadalajara,1403900010539,09,Sí,,4,Martes,Hijo,Mujeres,Mujeres,18-34,28,Soltero,Licenciatura o profesional,Tiempo completo,Empleado,Comercio,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,249
14,1,26-Jan-23,Guadalajara,140390001418A,09,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,32,Soltero,Licenciatura o profesional,Tiempo completo,Trabajador independiente,Servicio,No,,,,,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,249
14,2,26-Jan-23,Guadalajara,140390001418A,09,Sí,,4,Miércoles,Hijo,Hombres,Hombres,18-34,32,Casado,Preparatoria o bachillerato,Tiempo completo,Trabajador independiente,Servicio,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,No,249
14,3,26-Jan-23,Guadalajara,140390001418A,09,Sí,,4,Miércoles,Hijo,Mujeres,Mujeres,35-54,37,Casado,Licenciatura o profesional,Se dedica a los quehaceres del hogar o a cuidar a sus hijos,Hogar,,No,,,,,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,Sí,No,249
14,4,26-Jan-23,Guadalajara,140390001418A,09,No,Por problemas permanentes de salud,0,,Otro parentesco,Hombres,Hombres,55 y +,99,Viudo,No sabe,Es jubilado o pensionado,Jubilado o pensionado,,No,,,,,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,249
15,1,26-Jan-23,Guadalajara,1403900010859,09,No,Por discapacidad,0,,Jefe del hogar,Mujeres,Mujeres,55 y +,81,Viudo,Ninguno,No trabajo,Hogar,,Sí,Física o motora,Sí,Problemas de movilidad/discapacidad temporal,Hijo,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,249
15,2,26-Jan-23,Guadalajara,1403900010859,09,Sí,,4,Miércoles,Hijo,Hombres,Hombres,35-54,41,Soltero,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,Sí,No,249
16,1,26-Jan-23,Guadalajara,1403900014245,09,Sí,,2,Miércoles,Otro parentesco,Hombres,Hombres,35-54,46,Casado,Secundaria,Tiempo completo,Empleado,Industria,No,,,,,Sí,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,249
16,2,26-Jan-23,Guadalajara,1403900014245,09,Sí,,2,Miércoles,Otro parentesco,Mujeres,Mujeres,35-54,44,Casado,Primaria,Medio tiempo,Empleado,Comercio,No,,,,,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,249
